current_ein,url,title,new_ein
956419214,https://archive.la2050.org/venice-art-crawl,Venice Art Crawl,95-6419214
954412725,https://archive.la2050.org/green-institute-for-village-empowerment-give-program-at-tom-bradley-legacy-foundation-at-ucla-l-a-urban-farms-union-rescue-mission-union-church-l-a,"Green Institute for Village Empowerment (GIVE) program at Tom Bradley Legacy Foundation at UCLA, L.A. Urban Farms, Union Rescue Mission, Union Church L.A.",95-4412725
934302067,https://archive.la2050.org/maternal-mental-health-now,Maternal Mental Health NOW,95-4302067-004
954255679,https://archive.la2050.org/mighty-companions,"Mighty Companions, Inc.",95-4255679
952647443,https://archive.la2050.org/mar-vista-family-center,Mar Vista Family Center,95-2647443
557066495,https://archive.la2050.org/fallen-fruit,Fallen Fruit,95-2540759
952274801,https://archive.la2050.org/united-way-of-greater-los-angeles,United Way of Greater Los Angeles,95-2274801
951709239,https://archive.la2050.org/union-rescue-mission,Union Rescue Mission,95-1709293
951641424,https://archive.la2050.org/childrens-institute-inc-cii,"Childrenâ€™s Institute, Inc. (CII)",95-1641424
943213100,https://archive.la2050.org/childrens-action-network,Children's Action Network,94-3213100
92184898,https://archive.la2050.org/palisades-charter-high-school-pchs,Palisades Charter High School (PCHS),92-0184898
908738355,https://archive.la2050.org/c3-center-for-conscious-creativity,c3: Center for Conscious Creativity,90-0738335
833262016,https://archive.la2050.org/unlitterla,UnlitterLA,83-3262016
832697429,https://archive.la2050.org/urban-encore-symphony-and-singers,Urban Encore Symphony and Singers,83-2697429
830977614,https://archive.la2050.org/bob-baker-marionette-theater,Bob Baker Marionette Theater,83-0977614
825235150,https://archive.la2050.org/navel,NAVEL,82-5235150
812014188,https://archive.la2050.org/girls-academic-leadership-academy-gala,Girls Academic Leadership Academy (GALA),81-2014188
455552196,https://archive.la2050.org/would-works,Would-Works,81-1484179
55777888,https://archive.la2050.org/siqueiros-foundation-of-the-arts,Siqueiros Foundation of the Arts,80-0963051
80731426,https://archive.la2050.org/cheshire-moon-inc,Cheshire Moon Inc,80-0731426
770462154,https://archive.la2050.org/safecast,Safecast (Momoko Ito Foundation),77-0462154
54259363,https://archive.la2050.org/entertainment-industries-council-inc,"Entertainment Industries Council, Inc.",54-1259363
510179305,https://archive.la2050.org/peace-over-violence,Peace Over Violence,51-0179305
474318779,https://archive.la2050.org/grid110-inc,"Grid110, Inc.",47-4318779
464736278,#N/A,Climate Resolve,46-4736278
463169840,https://archive.la2050.org/surf-bus-foundation,Surf Bus Foundation,46-3169840
46-3133016,#N/A,Los Angeles Center of Photography,46-3133016
383722092,https://archive.la2050.org/826la,826LA,38-3722092
244703063,https://archive.la2050.org/los-angeles-youth-orchestra,Los Angeles Youth Orchestra,26-4703063
473675225,https://archive.la2050.org/communities-in-schools-of-los-angeles,Communities In Schools of Los Angeles,26-0404220
95254059,https://archive.la2050.org/pasadena-arts-council,Pasadena Arts Council,23-7429349
202619927,https://archive.la2050.org/futureports,FuturePorts,20-2619927
43657544,https://archive.la2050.org/bruce-lee-foundation,Bruce Lee Foundation,04-3657544
43262046,https://archive.la2050.org/jumpstart-for-young-children-inc,"Jumpstart For Young Children, Inc.",04-3262046
42761636,https://archive.la2050.org/facing-history-and-ourselves-inc,"Facing History and Ourselves, Inc.",04-2761636
30576666,https://archive.la2050.org/small-business-majority,Small Business Majority,03-0576666
20767157,https://archive.la2050.org/rock-the-vote,Rock the Vote,02-0767157
20661629,https://archive.la2050.org/los-angeles-community-action-network,Los Angeles Community Action Network,02-0661629
10967139,https://archive.la2050.org/los-angeles-sustainability-collaborative-lasc,Los Angeles Sustainability Collaborative (LASC),01-0967139
10574486,https://archive.la2050.org/california-greenworks,California Greenworks,01-0574486