url,tags_a,tags_b,tags_c
211-la,Community health,STEM & Digital literacy,
501cthree,Climate change,Community health,
acceler8,Teaching & mentorship,Workforce development,
al-otro-lado,Resiliency,Volunteerism,
alliance-in-mentorship-mimentor,Teaching & mentorship,Community health,
america-on-tech-aot,STEM & Digital literacy,College prep,
armenian-professional-society,College prep,,
art-muse-academy,Creative economy,Art,
artworxla,Teaching & mentorship,Art,
asian-americans-for-housing-and-environmental-justice,Homelessness,Affordable housing,
assistance-league-of-los-angeles,Early childhood,Teaching & mentorship,
awoke,Art,Fitness & sports,
azusa-pacific-university,Teaching & mentorship,Voting & civic engagement,
baby2baby,Early childhood,Resiliency,
bari-applebaum-creative,Access to parks & green space,Community health,
bicycle-kitchen-la-bici-cocina,Transportation,Community health,
bizfed-institute,Entrepreneurship & innovation,Workforce development,
blueprints-for-pangaea-university-of-southern-california,Community health,,
books-buckets,Teaching & mentorship,Fitness & sports,
boys-girls-club-of-pasadena,Teaching & mentorship,Community health,
boys-girls-club-of-venice,Teaching & mentorship,Early childhood,
brady-center-to-prevent-gun-violence,Community safety,Mental & emotional health,
bray-media,Workforce development,Creative economy,
building-blocks-for-kids,Teaching & mentorship,College prep,
bureau-of-engineering-city-of-los-angeles-department-of-public-works,Entrepreneurship & innovation,Resiliency,
california-state-university-northridge,Teaching & mentorship,Art,
cancer-support-community-los-angeles,Community health,Community gatherings,
center-for-human-rights-and-constitutional-law-inc,Early childhood,Resiliency,
center-for-restorative-justice-works,Early childhood,Resiliency,
central-american-resource-center-of-california-carecen,Resiliency,Community safety,
chaivillagela,Disability & aging,Community health,
chicxs-rockerxs-south-east-los-angeles,Art,Mental & emotional health,
child-development-institute,Early childhood,Access to parks & green space,
cielo-community-for-innovation-entrepreneurship-leadership-opportunities,Entrepreneurship & innovation,Creative economy,
cise,Entrepreneurship & innovation,Access to capital & benefits,
city-of-la-office-of-community-beautification-ocb-keep-los-angeles-beautiful-klab,Community health,Access to parks & green space,
city-plants,Access to parks & green space,Community health,
civicas,Entrepreneurship & innovation,Voting & civic engagement,
coalition-to-abolish-slavery-and-trafficking-cast,Community safety,Resiliency,
college-match,Teaching & mentorship,College prep,
color-compton,Teaching & mentorship,Art,
color-the-water,Fitness & sports,Resiliency,
commutelax-los-angeles-world-airports,Transportation,Air & water,
compound,Community health,Art,
contemporary-art-league,Art,Creative economy,
cougar-conservancy,Community safety,Access to parks & green space,
cultivala-inc,Access to healthy food,Community health,
cyber-seniors,Disability & aging,STEM & Digital literacy,
downtown-crenshaw-rising,Entrepreneurship & innovation,Access to capital & benefits,
el-sereno-community-land-trust,Affordable housing,Community health,
electricfish,Transportation,Climate change,
emotional-health-association-dba-share,Mental & emotional health,Community health,
encorps-stem-teachers,STEM & Digital literacy,Teaching & mentorship,
end-homelessness-california-dba-the-shower-of-hope,Homelessness,Community health,
engineer-factory-a-project-of-community-partners,STEM & Digital literacy,Workforce development,
esperanza-community-housing,Community health,Community gatherings,
expandla,Early childhood,Teaching & mentorship,
exploring-the-arts-inc,Teaching & mentorship,Art,
ezrach-brain-trust-association,Volunteerism,Access to capital & benefits,
fender-play-foundation,Fitness & sports,Teaching & mentorship,
food-on-foot,Homelessness,Access to healthy food,
food-sector-systems-llc,Access to healthy food,Community health,
food-tribe-usa,Access to healthy food,Community gatherings,
foodcycle,Access to healthy food,Community health,
foothill-unity-center-inc,Homelessness,Volunteerism,
foster-nation,Teaching & mentorship,Mental & emotional health,
fostering-media-connections,Teaching & mentorship,Voting & civic engagement,
fountain-community-gardens,Access to parks & green space,Community health,
friends-of-girls-academic-leadership-academy-gala,STEM & Digital literacy,Resiliency,
fund-for-guaranteed-income-f4gi,Access to capital & benefits,Entrepreneurship & innovation,
future-roots-inc-dba-dublab,Creative economy,Art,
gasol-foundation,Community health,Access to healthy food,
generation-connect,Disability & aging,Teaching & mentorship,
girl-is-not-a-4-letter-word,Fitness & sports,Early childhood,
girl-powerful-sand-sisters-los-angeles-inc,Mental & emotional health,Teaching & mentorship,
girls-in-focus,Art,College prep,
global-eye-entrepreneurs,Entrepreneurship & innovation,Access to capital & benefits,
global-inheritance,Entrepreneurship & innovation,Creative economy,
good-tutors,Teaching & mentorship,Art,
greater-south-bay-stem-foundation,STEM & Digital literacy,Teaching & mentorship,
green-pines-creative-inc-d-b-a-green-pines-media,Teaching & mentorship,Homelessness,
greho-inc,STEM & Digital literacy,Workforce development,
griffith-observatory-foundation,STEM & Digital literacy,Community gatherings,
growing-the-table-a-project-of-tomkat-ranch-educational-foundation,Access to healthy food,Community health,
habitat-for-humanity-of-greater-los-angeles-an-affiliate-of-habitat-for-humanity-international-inc,Homelessness,Affordable housing,
harlem-lacrosse-leadership,Fitness & sports,,
harvest-all-resource-center,Teaching & mentorship,College prep,
have-a-go,Transportation,Community health,
healing-california,Community health,Resiliency,
hospitality-industry-training-and-education-fund-hitef-dba-hospitality-training-academy-hta,Workforce development,Teaching & mentorship,
house-of-ruth-inc,Community safety,Resiliency,
housing-authority-of-los-angeles,Affordable housing,Workforce development,
i-have-a-dream-foundation-los-angeles,Teaching & mentorship,College prep,
ican-california-abilities-network,Disability & aging,Workforce development,
impact-6,Teaching & mentorship,Workforce development,
inclusology,Access to capital & benefits,Workforce development,
integrated-recovery-network,Homelessness,Community health,
investing-in-place-a-project-of-community-partners,Transportation,Entrepreneurship & innovation,
its-in-scope,Community gatherings,Art,
junior-achievement-of-southern-california,Teaching & mentorship,College prep,
kaimore,Workforce development,Teaching & mentorship,
kcrw-foundation-inc,Creative economy,,
kids-in-the-spotlight-kits,Teaching & mentorship,Art,
kidspace-childrens-museum,Early childhood,Teaching & mentorship,
l-a-compost,Access to parks & green space,Community gatherings,
la-commons,Creative economy,Community gatherings,
la-conservation-corps,Workforce development,Teaching & mentorship,
la-podcast-inc,Creative economy,Voting & civic engagement,
la-sanitation-environment,Workforce development,Community health,
lana-inventions-llc,STEM & Digital literacy,Workforce development,
lindave-institute,Early childhood,STEM & Digital literacy,
live-faith-consulting,Teaching & mentorship,Workforce development,
long-beach-day-nursery,Early childhood,Teaching & mentorship,
lorcan-oherlihy-architects,Creative economy,Community health,
los-angeles-center-for-law-and-justice,Community safety,Resiliency,
los-angeles-choral-lab-lacl,Creative economy,Art,Community gatherings
los-angeles-neighborhood-initiative,Community safety,Voting & civic engagement,
los-angeles-neighborhood-land-trust,Access to parks & green space,Community health,
lovs,Mental & emotional health,Resiliency,
lynsteb-inc,Disability & aging,Transportation,
maxwell-vehicles-llc,Transportation,Climate change,
mels-love-land,Community gatherings,Mental & emotional health,
mend-family-acupuncture-and-healthcare,Community health,Resiliency,
mint-inc,Entrepreneurship & innovation,Access to capital & benefits,
moceanlab-inc,Creative economy,Transportation,
multiplicity-table-for-ten,Workforce development,Access to capital & benefits,
muralism,Disability & aging,Art,
mychals-learning-place,Disability & aging,Teaching & mentorship,
nami-sgv-national-alliance-of-mental-illness-san-gabriel-valley,Mental & emotional health,Community health,
national-association-of-latino-independent-producers,Creative economy,Teaching & mentorship,
neighborhood-music-school-association,Art,Teaching & mentorship,
network-for-teaching-entrepreneurship-los-angeles-metro,Entrepreneurship & innovation,Workforce development,
new-musicals-inc,Art,Creative economy,Teaching & mentorship
next-for-me,Teaching & mentorship,,
now-art,Community gatherings,Art,
nuleep,STEM & Digital literacy,Teaching & mentorship,
olasteo,Teaching & mentorship,Community gatherings,
on-the-go-la,Entrepreneurship & innovation,Access to capital & benefits,
optimist-youth-homes-family-services,Mental & emotional health,Community health,
our-house-grief-support-center,Mental & emotional health,Community health,
pacific-film-foundation,Art,Mental & emotional health,
pacific-urbanism,Climate change,,
paige-blu-industries-inc,Workforce development,Entrepreneurship & innovation,
parent-family-engagement-and-community-services,STEM & Digital literacy,College prep,Teaching & mentorship
path-people-assisting-the-homeless,Affordable housing,Homelessness,
pebsaf,College prep,Teaching & mentorship,
peoples-pottery-project,Workforce development,Creative economy,Art
powermylearning,STEM & Digital literacy,Teaching & mentorship,
pride-in-truth,Workforce development,Community health,
project-camp,Resiliency,Community safety,Volunteerism
project-giving-kids,Community gatherings,Volunteerism,
project-joy,Workforce development,Creative economy,
project-ropa,Climate change,Community health,Workforce development
rainbow-labs-empowering-lgbtq-youth-one-lab-at-a-time,Teaching & mentorship,Entrepreneurship & innovation,
reading-partners-los-angeles,Teaching & mentorship,,
reel-start,Teaching & mentorship,Art,
regarding-her,Workforce development,Teaching & mentorship,
resilient-agency,Workforce development,,
rewilder,Climate change,Entrepreneurship & innovation,
rivet-school,Workforce development,College prep,
ruckusroots,Access to healthy food,Community health,
rush-inc,Entrepreneurship & innovation,,
san-fernando-valley-audubon-society,Disability & aging,Access to parks & green space,
san-gabriel-valley-lgbtq-center,Mental & emotional health,Community safety,
sankofacity,Transportation,Climate change,
santa-monica-college-foundation,Access to healthy food,Mental & emotional health,
santa-monica-museum-of-art-dba-institute-of-contemporary-art-los-angeles,Art,Creative economy,Workforce development
sbcc,Volunteerism,,
scga-foundation,Fitness & sports,Teaching & mentorship,
seed-consulting-group,Workforce development,Volunteerism,
sensagrate,Transportation,Community safety,
sloane-stephens-foundation,Fitness & sports,Teaching & mentorship,
social-justice-league,Art,Workforce development,
social-model-recovery-systems-inc,Community health,Mental & emotional health,
sola-i-can-foundation,Workforce development,Entrepreneurship & innovation,
south-central-lamp,Early childhood,Mental & emotional health,
southern-california-committee-for-the-olympic-games,Fitness & sports,Community gatherings,
sowing-seeds-of-change,Access to healthy food,Workforce development,
sprouts-of-promise,Access to healthy food,Community health,
stepping-forward-la,Teaching & mentorship,Workforce development,
street-simplified-llc,Community safety,Transportation,
street-soccer-usa,Fitness & sports,Workforce development,
tackle-young-foundation,Entrepreneurship & innovation,Teaching & mentorship,
teen-talk-app-jewish-big-brother-big-sister-los-angeles,Mental & emotional health,Community health,
textile-arts-los-angeles,Art,Community gatherings,
thai-fan-meet-usa,Community gatherings,,
the-3-lines-collective,Mental & emotional health,Teaching & mentorship,
the-birth-equity-advocacy-project-a-program-of-causes-to-care-about,Community health,,
the-center-in-hollywood,Homelessness,Mental & emotional health,
the-friendship-foundation,Teaching & mentorship,Disability & aging,
the-hero-coalition,Mental & emotional health,Community health,
the-jizo-foundation,Mental & emotional health,Art,
the-little-angels-project,Community health,,
the-makers-hub,Workforce development,Entrepreneurship & innovation,
the-niles-foundation-la,Access to healthy food,Access to parks & green space,Climate change
the-right-kind-of-black-girl-inc,Access to capital & benefits,Mental & emotional health,
the-salt-eaters-bookshop,Workforce development,Art,
the-seed-school-of-los-angeles-county,Teaching & mentorship,College prep,
the-stella-adler-academy-of-acting-and-theatre,Art,Creative economy,
the-surf-bus-foundation,Fitness & sports,,
the-why-lab,Community gatherings,,
the-wildwoods-foundation,Volunteerism,,
thrive-way-inc,Mental & emotional health,,
todo-verde,Access to healthy food,,
tree-of-life-child-and-family-services,Mental & emotional health,Fitness & sports,
treepeople-inc,Climate change,Access to parks & green space,
ubu-holdings-inc,Access to capital & benefits,Entrepreneurship & innovation,
ucla-unicamp,Volunteerism,,
ucla-volunteer-center,Volunteerism,,
undergraduate-gerontology-and-alzheimers-disease-awareness-association-dba-the-youth-movement-against-alzheimers,Disability & aging,Mental & emotional health,Volunteerism
up2us-sports,Fitness & sports,Teaching & mentorship,
urban-peace-institute,Community safety,Access to parks & green space,
urbanpromise-los-angeles,Teaching & mentorship,,
venice-arts,Creative economy,Teaching & mentorship,Workforce development
venice-institute-of-contemporary-art,Teaching & mentorship,Art,Creative economy
village-arts,Art,Teaching & mentorship,
village-for-vets,Homelessness,Mental & emotional health,Community health
vision-to-learn,Community health,,
watts-labor-community-action-committee-wlcac,Climate change,Workforce development,Access to healthy food
we-are-enough-fiscal-sponsor-community-ventures,Entrepreneurship & innovation,Access to capital & benefits,Workforce development
we-can-foundation,Mental & emotional health,Community health,
western-center-on-law-poverty,Affordable housing,Community health,
westside-pacific-villages,Disability & aging,Mental & emotional health,
will-geers-theatricum-botanicum,Art,Community gatherings,
worcs-worker-ownership-resources-and-cooperative-services,Workforce development,Entrepreneurship & innovation,
world-harvest-charities-and-family-services,Access to healthy food,,
wrkz-inc,Creative economy,Mental & emotional health,Workforce development
youth-emerging-stronger-formerly-los-angeles-youth-network,Homelessness,Mental & emotional health,
ywca-of-the-harbor-area,Access to healthy food,Community health,